source_code	source_code_description	length
J1730	"Injection, diazoxide, up to 300 mg"	34
J1740	"Injection, ibandronate sodium, 1 mg"	35
J1741	"Injection, ibuprofen, 100 mg"	28
J1742	"Injection, ibutilide fumarate, 1 mg"	35
J1743	"Injection, idursulfase, 1 mg"	28
J1744	"Injection, icatibant, 1 mg"	26
J1745	"Injection infliximab, 10 mg"	27
J1750	"Injection, iron dextran, 50 mg"	30
J1756	"Injection, iron sucrose, 1 mg"	29
J1785	"Injection, imiglucerase, per unit"	33
J1786	"Injection, imiglucerase, 10 units"	33
J1790	"Injection, droperidol, up to 5 mg"	33
J1800	"Injection, propranolol hcl, up to 1 mg"	38
J1810	"Injection, droperidol and fentanyl citrate, up to 2 ml ampule"	61
J1815	"Injection, insulin, per 5 units"	31
J1817	"Insulin for administration through dme (i.e., insulin pump) per 50 units"	72
J1825	"Injection, interferon beta-1a, 33 mcg"	37
J1826	"Injection, interferon beta-1a, 30 mcg"	37
J1830	"Injection interferon beta-1b, 0.25 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for  use when drug is self administered)"	181
J1835	"Injection, itraconazole, 50 mg"	30
J1840	"Injection, kanamycin sulfate, up to 500 mg"	42
J1850	"Injection, kanamycin sulfate, up to 75 mg"	41
J1885	"Injection, ketorolac tromethamine, per 15 mg"	44
J1890	"Injection, cephalothin sodium, up to 1 gram"	43
J1930	"Injection, lanreotide, 1 mg"	27
J1931	"Injection, laronidase, 0.1 mg"	29
J1940	"Injection, furosemide, up to 20 mg"	34
J1945	"Injection, lepirudin, 50 mg"	27
J1950	"Injection, leuprolide acetate (for depot suspension), per 3.75 mg"	65
J1953	"Injection, levetiracetam, 10 mg"	31
J1955	"Injection, levocarnitine, per 1 gm"	34
J1956	"Injection, levofloxacin, 250 mg"	31
J1960	"Injection, levorphanol tartrate, up to 2 mg"	43
J1980	"Injection, hyoscyamine sulfate, up to 0.25 mg"	45
J1990	"Injection, chlordiazepoxide hcl, up to 100 mg"	45
J2001	"Injection, lidocaine hcl for intravenous infusion, 10 mg"	56
J2010	"Injection, lincomycin hcl, up to 300 mg"	39
J2020	"Injection, linezolid, 200mg"	27
J2060	"Injection, lorazepam, 2 mg"	26
J2150	"Injection, mannitol, 25% in 50 ml"	33
J2170	"Injection, mecasermin, 1 mg"	27
J2175	"Injection, meperidine hydrochloride, per 100 mg"	47
J2180	"Injection, meperidine and promethazine hcl, up to 50 mg"	55
J2185	"Injection, meropenem, 100 mg"	28
J2210	"Injection, methylergonovine maleate, up to 0.2 mg"	49
J2212	"Injection, methylnaltrexone, 0.1 mg"	35
J2248	"Injection, micafungin sodium, 1 mg"	34
J2250	"Injection, midazolam hydrochloride, per 1 mg"	44
J2260	"Injection, milrinone lactate, 5 mg"	34
J2265	"Injection, minocycline hydrochloride, 1 mg"	42
J2270	"Injection, morphine sulfate, up to 10 mg"	40
J2271	"Injection, morphine sulfate, 100mg"	34
J2275	"Injection, morphine sulfate (preservative-free sterile solution), per 10 mg"	75
J2278	"Injection, ziconotide, 1 microgram"	34
J2280	"Injection, moxifloxacin, 100 mg"	31
J2300	"Injection, nalbuphine hydrochloride, per 10 mg"	46
J2310	"Injection, naloxone hydrochloride, per 1 mg"	43
J2315	"Injection, naltrexone, depot form, 1 mg"	39
J2320	"Injection, nandrolone decanoate, up to 50 mg"	44
J2321	"Injection, nandrolone decanoate, up to 100 mg"	45
J2322	"Injection, nandrolone decanoate, up to 200 mg"	45
J2323	"Injection, natalizumab, 1 mg"	28
J2325	"Injection, nesiritide, 0.1 mg"	29
J2353	"Injection, octreotide, depot form for intramuscular injection, 1 mg"	67
J2354	"Injection, octreotide, non-depot form for subcutaneous or intravenous injection, 25 mcg"	87
J2355	"Injection, oprelvekin, 5 mg"	27
J2357	"Injection, omalizumab, 5 mg"	27
J2358	"Injection, olanzapine, long-acting, 1 mg"	40
J2360	"Injection, orphenadrine citrate, up to 60 mg"	44
J2370	"Injection, phenylephrine hcl, up to 1 ml"	40
J2400	"Injection, chloroprocaine hydrochloride, per 30 ml"	50
J2405	"Injection, ondansetron hydrochloride, per 1 mg"	46
J2410	"Injection, oxymorphone hcl, up to 1 mg"	38
J2425	"Injection, palifermin, 50 micrograms"	36
J2426	"Injection, paliperidone palmitate extended release, 1 mg"	56
J2430	"Injection, pamidronate disodium, per 30 mg"	42
J2440	"Injection, papaverine hcl, up to 60 mg"	38
J2460	"Injection, oxytetracycline hcl, up to 50 mg"	43
J2469	"Injection, palonosetron hcl, 25 mcg"	35
J2501	"Injection, paricalcitol, 1 mcg"	30
J2503	"Injection, pegaptanib sodium, 0.3 mg"	36
J2504	"Injection, pegademase bovine, 25 iu"	35
J2505	"Injection, pegfilgrastim, 6 mg"	30
J2507	"Injection, pegloticase, 1 mg"	28
J2510	"Injection, penicillin g procaine, aqueous, up to 600,000 units"	62
J2513	"Injection, pentastarch, 10% solution, 100 ml"	44
J2515	"Injection, pentobarbital sodium, per 50 mg"	42
J2515	"Injection, pentobarbital sodium, per 50 mg"	42
J2540	"Injection, penicillin g potassium, up to 600,000 units"	54
J2543	"Injection, piperacillin sodium/tazobactam sodium, 1 gram/0.125 grams (1.125 grams)"	82
J2545	"Pentamidine isethionate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 300 mg"	142
J2550	"Injection, promethazine hcl, up to 50 mg"	40
J2560	"Injection, phenobarbital sodium, up to 120 mg"	45
J2562	"Injection, plerixafor, 1 mg"	27
J2590	"Injection, oxytocin, up to 10 units"	35
J2597	"Injection, desmopressin acetate, per 1 mcg"	42
J2650	"Injection, prednisolone acetate, up to 1 ml"	43
J2670	"Injection, tolazoline hcl, up to 25 mg"	38
J2675	"Injection, progesterone, per 50 mg"	34
J2680	"Injection, fluphenazine decanoate, up to 25 mg"	46
J2690	"Injection, procainamide hcl, up to 1 gm"	39
J2700	"Injection, oxacillin sodium, up to 250 mg"	41
J2710	"Injection, neostigmine methylsulfate, up to 0.5 mg"	50
J2720	"Injection, protamine sulfate, per 10 mg"	39
J2724	"Injection, protein c concentrate, intravenous, human, 10 iu"	59
J2725	"Injection, protirelin, per 250 mcg"	34
J2730	"Injection, pralidoxime chloride, up to 1 gm"	43
J2760	"Injection, phentolamine mesylate, up to 5 mg"	44
J2765	"Injection, metoclopramide hcl, up to 10 mg"	42
J2770	"Injection, quinupristin/dalfopristin, 500 mg (150/350)"	54
J2778	"Injection, ranibizumab, 0.1 mg"	30
J2780	"Injection, ranitidine hydrochloride, 25 mg"	42
J2783	"Injection, rasburicase, 0.5 mg"	30
J2785	"Injection, regadenoson, 0.1 mg"	30
J2788	"Injection, rho d immune globulin, human, minidose, 50 micrograms (250 i.u.)"	75
J2790	"Injection, rho d immune globulin, human, full dose, 300 micrograms (1500 i.u.)"	78
J2791	"Injection, rho(d) immune globulin (human), (rhophylac), intramuscular or intravenous, 100 iu"	92
J2792	"Injection, rho d immune globulin, intravenous, human, solvent detergent, 100 iu"	79
J2793	"Injection, rilonacept, 1 mg"	27
J2794	"Injection, risperidone, long acting, 0.5 mg"	43
J2795	"Injection, ropivacaine hydrochloride, 1 mg"	42
J2796	"Injection, romiplostim, 10 micrograms"	37
J2800	"Injection, methocarbamol, up to 10 ml"	37
J2805	"Injection, sincalide, 5 micrograms"	34
J2810	"Injection, theophylline, per 40 mg"	34
J2820	"Injection, sargramostim (gm-csf), 50 mcg"	40
J2850	"Injection, secretin, synthetic, human, 1 microgram"	50
J2910	"Injection, aurothioglucose, up to 50 mg"	39
J2916	"Injection, sodium ferric gluconate complex in sucrose injection, 12.5 mg"	72
J2920	"Injection, methylprednisolone sodium succinate, up to 40 mg"	59
J2930	"Injection, methylprednisolone sodium succinate, up to 125 mg"	60
J2940	"Injection, somatrem, 1 mg"	25
J2941	"Injection, somatropin, 1 mg"	27
J2950	"Injection, promazine hcl, up to 25 mg"	37
J2993	"Injection, reteplase, 18.1 mg"	29
J2995	"Injection, streptokinase, per 250,000 iu"	40
J2997	"Injection, alteplase recombinant, 1 mg"	38
J3000	"Injection, streptomycin, up to 1 gm"	35
J3010	"Injection, fentanyl citrate, 0.1 mg"	35
J3030	"Injection, sumatriptan succinate, 6 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"	181
J3060	"Injection, taliglucerace alfa, 10 units"	39
J3070	"Injection, pentazocine, 30 mg"	29
J3095	"Injection, telavancin, 10 mg"	28
J3101	"Injection, tenecteplase, 1 mg"	29
J3105	"Injection, terbutaline sulfate, up to 1 mg"	42
J3110	"Injection, teriparatide, 10 mcg"	31
J3120	"Injection, testosterone enanthate, up to 100 mg"	47
J3130	"Injection, testosterone enanthate, up to 200 mg"	47
J3140	"Injection, testosterone suspension, up to 50 mg"	47
J3150	"Injection, testosterone propionate, up to 100 mg"	48
J3230	"Injection, chlorpromazine hcl, up to 50 mg"	42
J3240	"Injection, thyrotropin alpha, 0.9 mg, provided in 1.1 mg vial"	61
J3243	"Injection, tigecycline, 1 mg"	28
J3246	"Injection, tirofiban hcl, 0.25mg"	32
J3250	"Injection, trimethobenzamide hcl, up to 200 mg"	46
J3260	"Injection, tobramycin sulfate, up to 80 mg"	42
J3262	"Injection, tocilizumab, 1 mg"	28
J3265	"Injection, torsemide, 10 mg/ml"	30
J3280	"Injection, thiethylperazine maleate, up to 10 mg"	48
J3285	"Injection, treprostinil, 1 mg"	29
J3300	"Injection, triamcinolone acetonide, preservative free, 1 mg"	59
J3301	"Injection, triamcinolone  acetonide, not otherwise specified, 10 mg"	67
J3302	"Injection, triamcinolone diacetate, per 5mg"	43
J3303	"Injection, triamcinolone hexacetonide, per 5mg"	46
J3305	"Injection, trimetrexate glucuronate, per 25 mg"	46
J3310	"Injection, perphenazine, up to 5 mg"	35
J3315	"Injection, triptorelin pamoate, 3.75 mg"	39
J3320	"Injection, spectinomycin dihydrochloride, up to 2 gm"	52
J3350	"Injection, urea, up to 40 gm"	28
J3355	"Injection, urofollitropin, 75 iu"	32
J3357	"Injection, ustekinumab, 1 mg"	28
J3360	"Injection, diazepam, up to 5 mg"	31
J3364	"Injection, urokinase, 5000 iu vial"	34
J3365	"Injection, iv, urokinase, 250,000 i.u. vial"	43
J3370	"Injection, vancomycin hcl, 500 mg"	33
J3385	"Injection, velaglucerase alfa, 100 units"	40
J3396	"Injection, verteporfin, 0.1 mg"	30
J3400	"Injection, triflupromazine hcl, up to 20 mg"	43
J3410	"Injection, hydroxyzine hcl, up to 25 mg"	39
J3411	"Injection, thiamine hcl, 100 mg"	31
J3415	"Injection, pyridoxine hcl, 100 mg"	33
J3420	"Injection, vitamin b-12 cyanocobalamin, up  to 1000 mcg"	55
J3430	"Injection, phytonadione (vitamin k), per 1 mg"	45
J3465	"Injection, voriconazole, 10 mg"	30
J3470	"Injection, hyaluronidase, up to 150 units"	41
J3471	"Injection, hyaluronidase, ovine, preservative free, per 1 usp unit (up to 999 usp units)"	88
J3472	"Injection, hyaluronidase, ovine, preservative free, per 1000 usp units"	70
J3473	"Injection, hyaluronidase, recombinant, 1 usp unit"	49
J3475	"Injection, magnesium sulfate, per 500 mg"	40
J3480	"Injection, potassium chloride, per 2 meq"	40
J3485	"Injection, zidovudine, 10 mg"	28
J3486	"Injection, ziprasidone mesylate, 10 mg"	38
J3487	"Injection, zoledronic acid (zometa), 1 mg"	41
J3488	"Injection, zoledronic acid (reclast), 1 mg"	42
J3489	"Injection, zoledronic acid, 1 mg"	32
J3490	Unclassified drugs	18
J3520	"Edetate disodium, per 150 mg"	28
J3530	Nasal vaccine inhalation	24
J3535	Drug administered through a metered dose inhaler	48
J3570	"Laetrile, amygdalin, vitamin b17"	32
J3590	Unclassified biologics	22
J7030	"Infusion, normal saline solution , 1000 cc"	42
J7040	"Infusion, normal saline solution, sterile (500 ml=1 unit)"	57
J7042	5% dextrose/normal saline (500 ml = 1 unit)	43
J7050	"Infusion, normal saline solution , 250 cc"	41
J7060	5% dextrose/water (500 ml = 1 unit)	35
J7070	"Infusion, d5w, 1000 cc"	22
J7100	"Infusion, dextran 40, 500 ml"	28
J7110	"Infusion, dextran 75, 500 ml"	28
J7120	"Ringers lactate infusion, up to 1000 cc"	39
J7130	"Hypertonic saline solution, 50 or 100 meq, 20 cc vial"	53
J7131	"Hypertonic saline solution, 1 ml"	32
J7178	"Injection, human fibrinogen concentrate, 1 mg"	45
J7180	"Injection, factor xiii (antihemophilic factor, human), 1 i.u."	61
J7183	"Injection, von willebrand factor complex (human), wilate, 1 i.u. vwf:rco"	72
J7184	"Injection, von willebrand factor complex (human), wilate, per 100 iu vwf:rco"	76
J7185	"Injection, factor viii (antihemophilic factor, recombinant) (xyntha), per i.u."	78
J7186	"Injection, antihemophilic factor viii/von willebrand factor complex (human), per factor viii i.u."	97
J7187	"Injection, von willebrand factor complex (humate-p), per iu vwf:rco"	67
J7189	"Factor viia (antihemophilic factor, recombinant), per 1 microgram"	65
J7190	"Factor viii (antihemophilic factor, human) per i.u."	51
J7191	"Factor viii (antihemophilic factor (porcine)), per i.u."	55
J7192	"Factor viii (antihemophilic factor, recombinant) per i.u., not otherwise specified"	82
J7193	"Factor ix (antihemophilic factor, purified, non-recombinant) per i.u."	69
J7194	"Factor ix, complex, per i.u."	28
J7195	"Factor ix (antihemophilic factor, recombinant) per i.u."	55
J7196	"Injection, antithrombin recombinant, 50 i.u."	44
J7197	"Antithrombin iii (human), per i.u."	34
J7198	"Anti-inhibitor, per i.u."	24
J7199	"Hemophilia clotting factor, not otherwise classified"	52
J7300	Intrauterine copper contraceptive	33
J7301	"Levonorgestrel-releasing intrauterine contraceptive system (skyla), 13.5 mg"	75
J7302	"Levonorgestrel-releasing intrauterine contraceptive system, 52 mg"	65
J7303	"Contraceptive supply, hormone containing vaginal ring, each"	59
J7304	"Contraceptive supply, hormone containing patch, each"	52
J7306	"Levonorgestrel (contraceptive) implant system, including implants and supplies"	78
J7307	"Etonogestrel (contraceptive) implant system, including implant and supplies"	75
J7308	"Aminolevulinic acid hcl for topical administration, 20%, single unit dosage form (354 mg)"	89
J7309	"Methyl aminolevulinate (mal) for topical administration, 16.8%, 1 gram"	70
J7310	"Ganciclovir, 4.5 mg, long-acting implant"	40
J7311	"Fluocinolone acetonide, intravitreal implant"	44
J7312	"Injection, dexamethasone, intravitreal implant, 0.1 mg"	54
J7315	"Mitomycin, ophthalmic, 0.2 mg"	29
J7316	"Injection, ocriplasmin, 0.125 mg"	32
J7321	"Hyaluronan or derivative, hyalgan or supartz, for intra-articular injection, per dose"	85
J7323	"Hyaluronan or derivative, euflexxa, for intra-articular injection, per dose"	75
J7324	"Hyaluronan or derivative, orthovisc, for intra-articular injection, per dose"	76
J7325	"Hyaluronan or derivative, synvisc or synvisc-one, for intra-articular injection, 1 mg"	85
J7326	"Hyaluronan or derivative, gel-one, for intra-articular injection, per dose"	74
J7330	"Autologous cultured chondrocytes, implant"	41
J7335	"Capsaicin 8% patch, per 10 square centimeters"	45
J7500	"Azathioprine, oral, 50 mg"	25
J7501	"Azathioprine, parenteral, 100 mg"	32
J7502	"Cyclosporine, oral, 100 mg"	26
J7504	"Lymphocyte immune globulin, antithymocyte globulin, equine, parenteral, 250 mg"	78
J7505	"Muromonab-cd3, parenteral, 5 mg"	31
J7506	"Prednisone, oral, per 5mg"	25
J7507	"Tacrolimus, immediate release, oral, 1 mg"	41
J7508	"Tacrolimus, extended release, oral, 0.1 mg"	42
J7509	"Methylprednisolone oral, per 4 mg"	33
J7510	"Prednisolone oral, per 5 mg"	27
J7511	"Lymphocyte immune globulin, antithymocyte globulin, rabbit, parenteral, 25mg"	76
J7513	"Daclizumab, parenteral, 25 mg"	29
J7515	"Cyclosporine, oral, 25 mg"	25
J7516	"Cyclosporin, parenteral, 250 mg"	31
J7517	"Mycophenolate mofetil, oral, 250 mg"	35
J7518	"Mycophenolic acid, oral, 180 mg"	31
J7520	"Sirolimus, oral, 1 mg"	21
J7525	"Tacrolimus, parenteral, 5 mg"	28
J7527	"Everolimus, oral, 0.25 mg"	25
J7599	"Immunosuppressive drug, not otherwise classified"	48
J7604	"Acetylcysteine, inhalation solution, compounded product, administered through dme, unit dose form, per gram"	107
J7605	"Arformoterol, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 15 micrograms"	134
J7606	"Formoterol fumarate, inhalation solution, fda approved final product, non-compounded, administered through dme, unit dose form, 20 micrograms"	141
J7607	"Levalbuterol, inhalation solution, compounded product, administered through dme, concentrated form, 0.5 mg"	106
J7608	"Acetylcysteine, inhalation solution, fda-approved final product, non-compounded,  administered through dme, unit dose form, per gram"	132
J7609	"Albuterol, inhalation solution, compounded product, administered through dme, unit dose, 1 mg"	93
J7610	"Albuterol, inhalation solution, compounded product, administered through dme, concentrated form, 1 mg"	101
J7611	"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 1 mg"	125
J7612	"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, 0.5 mg"	130
J7613	"Albuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 1 mg"	117
J7614	"Levalbuterol, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose, 0.5 mg"	122
J7615	"Levalbuterol, inhalation solution, compounded product, administered through dme, unit dose, 0.5 mg"	98
J7620	"Albuterol, up to 2.5 mg and ipratropium bromide, up to 0.5 mg, fda-approved final product, non-compounded, administered through dme"	131
J7622	"Beclomethasone, inhalation solution, compounded product,  administered through dme, unit dose form, per milligram"	113
J7624	"Betamethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	111
J7626	"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, up to 0.5 mg"	131
J7627	"Budesonide, inhalation solution, compounded product, administered through dme, unit dose form, up to 0.5 mg"	107
J7628	"Bitolterol mesylate, inhalation solution, compounded product,  administered through dme, concentrated form, per milligram"	121
J7629	"Bitolterol mesylate, inhalation solution, compounded product,  administered through dme, unit dose form, per milligram"	118
J7631	"Cromolyn sodium, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams"	141
J7632	"Cromolyn sodium, inhalation solution, compounded product, administered through dme, unit dose form, per 10 milligrams"	117
J7633	"Budesonide, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 0.25 milligram"	140
J7634	"Budesonide, inhalation solution, compounded product, administered through dme, concentrated form, per 0.25 milligram"	116
J7635	"Atropine, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	109
J7636	"Atropine, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	106
J7637	"Dexamethasone, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	114
J7638	"Dexamethasone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	111
J7639	"Dornase alfa, inhalation solution, fda-approved final product, non-compounded,  administered through dme, unit dose form, per milligram"	135
J7640	"Formoterol, inhalation solution, compounded product, administered through dme, unit dose form, 12 micrograms"	108
J7641	"Flunisolide, inhalation solution, compounded product, administered through dme, unit dose, per milligram"	104
J7642	"Glycopyrrolate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	115
J7643	"Glycopyrrolate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	112
J7644	"Ipratropium bromide, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"	141
J7645	"Ipratropium bromide, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	117
J7647	"Isoetharine hcl, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	116
J7648	"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per milligram"	140
J7649	"Isoetharine hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"	137
J7650	"Isoetharine hcl, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	113
J7657	"Isoproterenol hcl, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	118
J7658	"Isoproterenol hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per milligram"	142
J7659	"Isoproterenol hcl, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per milligram"	139
J7660	"Isoproterenol hcl, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	115
J7665	"Mannitol, administered through an inhaler, 5 mg"	47
J7667	"Metaproterenol sulfate, inhalation solution, compounded product, concentrated form, per 10 milligrams"	101
J7668	"Metaproterenol sulfate, inhalation solution, fda-approved final product, non-compounded, administered through dme, concentrated form, per 10 milligrams"	151
J7669	"Metaproterenol sulfate, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, per 10 milligrams"	148
J7670	"Metaproterenol sulfate, inhalation solution, compounded product, administered through dme, unit dose form, per 10 milligrams"	124
J7674	"Methacholine chloride administered as inhalation solution through a nebulizer, per 1 mg"	87
J7676	"Pentamidine isethionate, inhalation solution, compounded product, administered through dme, unit dose form, per 300 mg"	118
J7680	"Terbutaline sulfate, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	120
J7681	"Terbutaline sulfate, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	117
J7682	"Tobramycin, inhalation solution, fda-approved final product, non-compounded, unit dose form, administered through dme, per 300 milligrams"	137
J7683	"Triamcinolone, inhalation solution, compounded product, administered through dme, concentrated form, per milligram"	114
J7684	"Triamcinolone, inhalation solution, compounded product, administered through dme, unit dose form, per milligram"	111
J7685	"Tobramycin, inhalation solution, compounded product, administered through dme, unit dose form, per 300 milligrams"	113
J7686	"Treprostinil, inhalation solution, fda-approved final product, non-compounded, administered through dme, unit dose form, 1.74 mg"	128
J7699	"Noc drugs, inhalation solution administered through dme"	55
J7799	"Noc drugs, other than inhalation drugs, administered through dme"	64
J8498	"Antiemetic drug, rectal/suppository, not otherwise specified"	60
J8499	"Prescription drug, oral, non chemotherapeutic, nos"	50
J8501	"Aprepitant, oral, 5 mg"	22
J8510	"Busulfan; oral, 2 mg"	20
J8515	"Cabergoline, oral, 0.25 mg"	26
J8520	"Capecitabine, oral, 150 mg"	26
J8521	"Capecitabine, oral, 500 mg"	26
J8530	"Cyclophosphamide; oral, 25 mg"	29
J8540	"Dexamethasone, oral, 0.25 mg"	28
J8560	"Etoposide; oral, 50 mg"	22
J8561	"Everolimus, oral, 0.25 mg"	25
J8562	"Fludarabine phosphate, oral, 10 mg"	34
J8565	"Gefitinib, oral, 250 mg"	23
J8597	"Antiemetic drug, oral, not otherwise specified"	46
J8600	"Melphalan; oral, 2 mg"	21
J8610	"Methotrexate; oral, 2.5 mg"	26
J8650	"Nabilone, oral, 1 mg"	20
J8700	"Temozolomide, oral, 5 mg"	24
J8705	"Topotecan, oral, 0.25 mg"	24
J8999	"Prescription drug, oral, chemotherapeutic, nos"	46
J9000	"Injection, doxorubicin hydrochloride, 10 mg"	43
J9001	"Injection, doxorubicin hydrochloride, all lipid formulations, 10 mg"	67
J9002	"Injection, doxorubicin hydrochloride, liposomal, doxil, 10 mg"	61
J9010	"Injection, alemtuzumab, 10 mg"	29
J9015	"Injection, aldesleukin, per single use vial"	43
J9017	"Injection, arsenic trioxide, 1 mg"	33
J9019	"Injection, asparaginase (erwinaze), 1,000 iu"	44
J9020	"Injection, asparaginase, not otherwise specified, 10,000 units"	62
J9025	"Injection, azacitidine, 1 mg"	28
J9027	"Injection, clofarabine, 1 mg"	28
J9031	Bcg (intravesical) per instillation	35
J9033	"Injection, bendamustine hcl, 1 mg"	33
J9035	"Injection, bevacizumab, 10 mg"	29
J9040	"Injection, bleomycin sulfate, 15 units"	38
J9041	"Injection, bortezomib, 0.1 mg"	29
J9042	"Injection, brentuximab vedotin, 1 mg"	36
J9043	"Injection, cabazitaxel, 1 mg"	28
J9045	"Injection, carboplatin, 50 mg"	29
J9047	"Injection, carfilzomib, 1 mg"	28
J9050	"Injection, carmustine, 100 mg"	29
J9055	"Injection, cetuximab, 10 mg"	27
J9060	"Injection, cisplatin, powder or solution, 10 mg"	47
J9062	"Cisplatin, 50 mg"	16
J9065	"Injection, cladribine, per 1 mg"	31
J9070	"Cyclophosphamide, 100 mg"	24
J9080	"Cyclophosphamide, 200 mg"	24
J9090	"Cyclophosphamide, 500 mg"	24
J9091	"Cyclophosphamide, 1.0 gram"	26
J9092	"Cyclophosphamide, 2.0 gram"	26
J9093	"Cyclophosphamide, lyophilized, 100 mg"	37
J9094	"Cyclophosphamide, lyophilized, 200 mg"	37
J9095	"Cyclophosphamide, lyophilized, 500 mg"	37
J9096	"Cyclophosphamide, lyophilized, 1.0 gram"	39
J9097	"Cyclophosphamide, lyophilized, 2.0 gram"	39
J9098	"Injection, cytarabine liposome, 10 mg"	37
J9100	"Injection, cytarabine, 100 mg"	29
J9110	"Injection, cytarabine, 500 mg"	29
J9120	"Injection, dactinomycin, 0.5 mg"	31
J9130	"Dacarbazine, 100 mg"	19
J9140	"Dacarbazine, 200 mg"	19
J9150	"Injection, daunorubicin, 10 mg"	30
J9151	"Injection, daunorubicin citrate, liposomal formulation, 10 mg"	61
J9155	"Injection, degarelix, 1 mg"	26
J9160	"Injection, denileukin diftitox, 300 micrograms"	46
J9165	"Injection, diethylstilbestrol diphosphate, 250 mg"	49
J9171	"Injection, docetaxel, 1 mg"	26
J9175	"Injection, elliotts' b solution, 1 ml"	37
J9178	"Injection, epirubicin hcl, 2 mg"	31
J9179	"Injection, eribulin mesylate, 0.1 mg"	36
J9181	"Injection, etoposide, 10 mg"	27
J9185	"Injection, fludarabine phosphate, 50 mg"	39
J9190	"Injection, fluorouracil, 500 mg"	31
J9200	"Injection, floxuridine, 500 mg"	30
J9201	"Injection, gemcitabine hydrochloride, 200 mg"	44
J9202	"Goserelin acetate implant, per 3.6 mg"	37
J9206	"Injection, irinotecan, 20 mg"	28
J9207	"Injection, ixabepilone, 1 mg"	28
J9208	"Injection, ifosfamide, 1 gram"	29
J9209	"Injection, mesna, 200 mg"	24
J9211	"Injection, idarubicin hydrochloride, 5 mg"	41
J9212	"Injection, interferon alfacon-1, recombinant, 1 microgram"	57
J9213	"Injection, interferon, alfa-2a, recombinant, 3 million units"	60
J9214	"Injection, interferon, alfa-2b, recombinant, 1 million units"	60
J9215	"Injection, interferon, alfa-n3, (human leukocyte derived), 250,000 iu"	69
J9216	"Injection, interferon, gamma 1-b, 3 million units"	49
J9217	"Leuprolide acetate (for depot suspension), 7.5 mg"	49
J9218	"Leuprolide acetate, per 1 mg"	28
J9219	"Leuprolide acetate implant, 65 mg"	33
J9225	"Histrelin implant (vantas), 50 mg"	33
J9226	"Histrelin implant (supprelin la), 50 mg"	39
J9228	"Injection, ipilimumab, 1 mg"	27
J9230	"Injection, mechlorethamine hydrochloride, (nitrogen mustard), 10 mg"	67
J9245	"Injection, melphalan hydrochloride, 50 mg"	41
J9250	"Methotrexate sodium, 5 mg"	25
J9260	"Methotrexate sodium, 50 mg"	26
J9261	"Injection, nelarabine, 50 mg"	28
J9262	"Injection, omacetaxine mepesuccinate, 0.01 mg"	45
J9263	"Injection, oxaliplatin, 0.5 mg"	30
J9264	"Injection, paclitaxel protein-bound particles, 1 mg"	51
J9265	"Injection, paclitaxel, 30 mg"	28
J9266	"Injection, pegaspargase, per single dose vial"	45
J9268	"Injection, pentostatin, 10 mg"	29
J9270	"Injection, plicamycin, 2.5 mg"	29
J9280	"Injection, mitomycin, 5 mg"	26
J9290	"Mitomycin, 20 mg"	16
J9291	"Mitomycin, 40 mg"	16
J9293	"Injection, mitoxantrone hydrochloride, per 5 mg"	47
J9300	"Injection, gemtuzumab ozogamicin, 5 mg"	38
J9302	"Injection, ofatumumab, 10 mg"	28
J9303	"Injection, panitumumab, 10 mg"	29
J9305	"Injection, pemetrexed, 10 mg"	28
J9306	"Injection, pertuzumab, 1 mg"	27
