Code	Description
D01AA03	hachimycin
D01AA04	pecilocin
D01AA06	mepartricin
D01AA07	pyrrolnitrin
D01AA08	griseofulvin
D01AA20	combinations
D01AC	Imidazole and triazole derivatives
D01AC01	clotrimazole
D01AC02	miconazole
D01AC03	econazole
D01AC04	chlormidazole
D01AC05	isoconazole
D01AC06	tiabendazole
D01AC07	tioconazole
D01AC08	ketoconazole
D01AC09	sulconazole
D01AC10	bifonazole
D01AC11	oxiconazole
D01AC12	fenticonazole
D01AC13	omoconazole
D01AC14	sertaconazole
D01AC15	fluconazole
D01AC16	flutrimazole
D01AC17	eberconazole
D01AC20	combinations
D01AC52	miconazole, combinations
D01AC60	bifonazole, combinations
D01AE	Other antifungals for topical use
D01AE01	bromochlorosalicylanilide
D01AE02	methylrosaniline
D01AE03	tribromometacresol
D01AE04	undecylenic acid
D01AE05	polynoxylin
D01AE06	2-(4-chlorphenoxy)-ethanol
D01AE07	chlorphenesin
D01AE08	ticlatone
D01AE09	sulbentine
D01AE10	ethyl hydroxybenzoate
D01AE11	haloprogin
D01AE12	salicylic acid
D01AE13	selenium sulfide
D01AE14	ciclopirox
D01AE15	terbinafine
D01AE16	amorolfine
D01AE17	dimazole
D01AE18	tolnaftate
D01AE19	tolciclate
D01AE20	combinations
D01AE21	flucytosine
D01AE22	naftifine
D01AE23	butenafine
D01AE54	undecylenic acid, combinations
D01B	ANTIFUNGALS FOR SYSTEMIC USE
D01BA	Antifungals for systemic use
D01BA01	griseofulvin
D01BA02	terbinafine
D02	EMOLLIENTS AND PROTECTIVES
D02A	EMOLLIENTS AND PROTECTIVES
D02AA	Silicone products
D02AB	Zinc products
D02AC	Soft paraffin and fat products
D02AD	Liquid plasters
D02AE	Carbamide products
D02AE01	carbamide
D02AE51	carbamide, combinations
D02AF	Salicylic acid preparations
D02AX	Other emollients and protectives
D02B	PROTECTIVES AGAINST UV-RADIATION
D02BA	Protectives against UV-radiation for topical use
D02BA01	aminobenzoic acid
D02BA02	octinoxate
D02BB	Protectives against UV-radiation for systemic use
D02BB01	betacarotene
D02BB02	afamelanotide
D03	PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS
D03A	CICATRIZANTS
D03AA	Cod-liver oil ointments
D03AX	Other cicatrizants
D03AX01	cadexomer iodine
D03AX02	dextranomer
D03AX03	dexpanthenol
D03AX04	calcium pantothenate
D03AX05	hyaluronic acid
D03AX06	becaplermin
D03AX09	crilanomer
D03AX10	enoxolone
D03AX11	sodium chlorite
D03B	ENZYMES
D03BA	Proteolytic enzymes
D03BA01	trypsin
D03BA02	collagenase
D03BA03	bromelains
D03BA52	collagenase, combinations
D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.
D04AA	Antihistamines for topical use
D04AA01	thonzylamine
D04AA02	mepyramine
D04AA03	thenalidine
D04AA04	tripelennamine
D04AA09	chloropyramine
D04AA10	promethazine
D04AA12	tolpropamine
D04AA13	dimetindene
D04AA14	clemastine
D04AA15	bamipine
D04AA22	isothipendyl
D04AA32	diphenhydramine
D04AA33	diphenhydramine methylbromide
D04AA34	chlorphenoxamine
D04AB	Anesthetics for topical use
D04AB01	lidocaine
D04AB02	cinchocaine
D04AB03	oxybuprocaine
D04AB04	benzocaine
D04AB05	quinisocaine
D04AB06	tetracaine
D04AB07	pramocaine
D04AX	Other antipruritics
D05	ANTIPSORIATICS
D05A	ANTIPSORIATICS FOR TOPICAL USE
D05AA	Tars
D05AC	Antracen derivatives
D05AC01	dithranol
D05AC51	dithranol, combinations
D05AD	Psoralens for topical use
D05AD01	trioxysalen
D05AD02	methoxsalen
D05AX	Other antipsoriatics for topical use
D05AX01	fumaric acid
D05AX02	calcipotriol
D05AX03	calcitriol
D05AX04	tacalcitol
D05AX05	tazarotene
D05AX52	calcipotriol, combinations
D05B	ANTIPSORIATICS FOR SYSTEMIC USE
D05BA	Psoralens for systemic use
D05BA01	trioxysalen
D05BA02	methoxsalen
D05BA03	bergapten
D05BB	Retinoids for treatment of psoriasis
D05BB01	etretinate
D05BB02	acitretin
D05BX	Other antipsoriatics for systemic use
D05BX51	fumaric acid derivatives, combinations
D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06A	ANTIBIOTICS FOR TOPICAL USE
D06AA	Tetracycline and derivatives
D06AA01	demeclocycline
D06AA02	chlortetracycline
D06AA03	oxytetracycline
D06AA04	tetracycline
D06AX	Other antibiotics for topical use
D06AX01	fusidic acid
D06AX02	chloramphenicol
D06AX04	neomycin
D06AX05	bacitracin
D06AX07	gentamicin
D06AX08	tyrothricin
D06AX09	mupirocin
D06AX10	virginiamycin
D06AX11	rifaximin
D06AX12	amikacin
D06AX13	retapamulin
D06B	CHEMOTHERAPEUTICS FOR TOPICAL USE
D06BA	Sulfonamides
D06BA01	silver sulfadiazine
D06BA02	sulfathiazole
D06BA03	mafenide
D06BA04	sulfamethizole
D06BA05	sulfanilamide
D06BA06	sulfamerazine
D06BA51	silver sulfadiazine, combinations
D06BB	Antivirals
D06BB01	idoxuridine
D06BB02	tromantadine
D06BB03	aciclovir
D06BB04	podophyllotoxin
D06BB05	inosine
D06BB06	penciclovir
D06BB07	lysozyme
D06BB08	ibacitabine
D06BB09	edoxudine
D06BB10	imiquimod
D06BB11	docosanol
D06BB12	sinecatechins
D06BB53	aciclovir, combinations
D06BX	Other chemotherapeutics
D06BX01	metronidazole
D06BX02	ingenol mebutate
D06C	ANTIBIOTICS AND CHEMOTHERAPEUTICS, COMBINATIONS
D07	CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS
D07A	CORTICOSTEROIDS, PLAIN
D07AA	Corticosteroids, weak (group I)
D07AA01	methylprednisolone
D07AA02	hydrocortisone
D07AA03	prednisolone
D07AB	Corticosteroids, moderately potent (group II)
D07AB01	clobetasone
D07AB02	hydrocortisone butyrate
D07AB03	flumetasone
D07AB04	fluocortin
D07AB05	fluperolone
D07AB06	fluorometholone
D07AB07	fluprednidene
D07AB08	desonide
D07AB09	triamcinolone
D07AB10	alclometasone
D07AB11	hydrocortisone buteprate
D07AB19	dexamethasone
D07AB21	clocortolone
D07AB30	combinations of corticosteroids
D07AC	Corticosteroids, potent (group III)
D07AC01	betamethasone
D07AC02	fluclorolone
D07AC03	desoximetasone
D07AC04	fluocinolone acetonide
D07AC05	fluocortolone
D07AC06	diflucortolone
D07AC07	fludroxycortide
D07AC08	fluocinonide
D07AC09	budesonide
D07AC10	diflorasone
D07AC11	amcinonide
D07AC12	halometasone
D07AC13	mometasone
D07AC14	methylprednisolone aceponate
D07AC15	beclometasone
D07AC16	hydrocortisone aceponate
D07AC17	fluticasone
D07AC18	prednicarbate
D07AC19	difluprednate
D07AC21	ulobetasol
D07AD	Corticosteroids, very potent (group IV)
D07AD01	clobetasol
D07AD02	halcinonide
D07B	CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS
D07BA	Corticosteroids, weak, combinations with antiseptics
D07BA01	prednisolone and antiseptics
D07BA04	hydrocortisone and antiseptics
D07BB	Corticosteroids, moderately potent, combinations with antiseptics
D07BB01	flumetasone and antiseptics
D07BB02	desonide and antiseptics
D07BB03	triamcinolone and antiseptics
D07BB04	hydrocortisone butyrate and antiseptics
D07BC	Corticosteroids, potent, combinations with antiseptics
D07BC01	betamethasone and antiseptics
D07BC02	fluocinolone acetonide and antiseptics
D07BC03	fluocortolone and antiseptics
D07BC04	diflucortolone and antiseptics
D07BD	Corticosteroids, very potent, combinations with antiseptics
D07C	CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS
D07CA	Corticosteroids, weak, combinations with antibiotics
D07CA01	hydrocortisone and antibiotics
D07CA02	methylprednisolone and antibiotics
D07CA03	prednisolone and antibiotics
D07CB	Corticosteroids, moderately potent, combinations with antibiotics
D07CB01	triamcinolone and antibiotics
D07CB02	fluprednidene and antibiotics
D07CB03	fluorometholone and antibiotics
D07CB04	dexamethasone and antibiotics
D07CB05	flumetasone and antibiotics
D07CC	Corticosteroids, potent, combinations with antibiotics
D07CC01	betamethasone and antibiotics
D07CC02	fluocinolone acetonide and antibiotics
D07CC03	fludroxycortide and antibiotics
D07CC04	beclometasone and antibiotics
D07CC05	fluocinonide and antibiotics
D07CC06	fluocortolone and antibiotics
D07CD	Corticosteroids, very potent, combinations with antibiotics
D07CD01	clobetasol and antibiotics
D07X	CORTICOSTEROIDS, OTHER COMBINATIONS
D07XA	Corticosteroids, weak, other combinations
D07XA01	hydrocortisone
D07XA02	prednisolone
D07XB	Corticosteroids, moderately potent, other combinations
D07XB01	flumetasone
D07XB02	triamcinolone
D07XB03	fluprednidene
D07XB04	fluorometholone
D07XB05	dexamethasone
D07XB30	combinations of corticosteroids
D07XC	Corticosteroids, potent, other combinations
D07XC01	betamethasone
D07XC02	desoximetasone
D07XC03	mometasone
D07XC04	diflucortolone
D07XD	Corticosteroids, very potent, other combinations
D08	ANTISEPTICS AND DISINFECTANTS
D08A	ANTISEPTICS AND DISINFECTANTS
D08AA	Acridine derivatives
D08AA01	ethacridine lactate
D08AA02	aminoacridine
D08AA03	euflavine
D08AB	Aluminium agents
D08AC	Biguanides and amidines
D08AC01	dibrompropamidine
D08AC02	chlorhexidine
D08AC03	propamidine
D08AC04	hexamidine
D08AC05	polihexanide
D08AC52	chlorhexidine, combinations
D08AD	Boric acid products
D08AE	Phenol and derivatives
D08AE01	hexachlorophene
D08AE02	policresulen
D08AE03	phenol
D08AE04	triclosan
D08AE05	chloroxylenol
D08AE06	biphenylol
D08AF	Nitrofuran derivatives
D08AF01	nitrofural
D08AG	Iodine products
D08AG01	iodine/octylphenoxypolyglycolether
D08AG02	povidone-iodine
D08AG03	iodine
D08AG04	diiodohydroxypropane
D08AH	Quinoline derivatives
D08AH01	dequalinium
D08AH02	chlorquinaldol
D08AH03	oxyquinoline
D08AH30	clioquinol
D08AJ	Quaternary ammonium compounds
D08AJ01	benzalkonium
D08AJ02	cetrimonium
D08AJ03	cetylpyridinium
D08AJ04	cetrimide
D08AJ05	benzoxonium chloride
D08AJ06	didecyldimethylammonium chloride
D08AJ08	benzethonium chloride
D08AJ57	octenidine, combinations
D08AJ58	benzethonium chloride, combinations
D08AJ59	dodeclonium bromide, combinations
D08AK	Mercurial products
D08AK01	mercuric amidochloride
D08AK02	phenylmercuric borate
D08AK03	mercuric chloride
D08AK04	mercurochrome
D08AK05	mercury, metallic
D08AK06	thiomersal
D08AK30	mercuric iodide
D08AL	Silver compounds
D08AL01	silver nitrate
D08AL30	silver
D08AX	Other antiseptics and disinfectants
D08AX01	hydrogen peroxide
D08AX02	eosin
D08AX03	propanol
D08AX04	tosylchloramide sodium
D08AX05	isopropanol
D08AX06	potassium permanganate
D08AX07	sodium hypochlorite
D08AX08	ethanol
D08AX53	propanol, combinations
D09	MEDICATED DRESSINGS
D09A	MEDICATED DRESSINGS
D09AA	Medicated dressings with antiinfectives
D09AA01	framycetin
D09AA02	fusidic acid
D09AA03	nitrofural
D09AA04	phenylmercuric nitrate
D09AA05	benzododecinium
D09AA06	triclosan
D09AA07	cetylpyridinium
D09AA08	aluminium chlorohydrate
D09AA09	povidone-iodine
D09AA10	clioquinol
D09AA11	benzalkonium
D09AA12	chlorhexidine
D09AA13	iodoform
D09AB	Zinc bandages
D09AB01	zinc bandage without supplements
D09AB02	zinc bandage with supplements
D09AX	Soft paraffin dressings
D10	ANTI-ACNE PREPARATIONS
D10A	ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10AA	Corticosteroids, combinations for treatment of acne
D10AA01	fluorometholone
D10AA02	methylprednisolone
D10AA03	dexamethasone
D10AB	Preparations containing sulfur
D10AB01	bithionol
D10AB02	sulfur
D10AB03	tioxolone
D10AB05	mesulfen
D10AD	Retinoids for topical use in acne
D10AD01	tretinoin
D10AD02	retinol
D10AD03	adapalene
D10AD04	isotretinoin
D10AD05	motretinide
D10AD51	tretinoin, combinations
D10AD53	adapalene, combinations
D10AD54	isotretinoin, combinations
D10AE	Peroxides
D10AE01	benzoyl peroxide
D10AE51	benzoyl peroxide, combinations
D10AF	Antiinfectives for treatment of acne
D10AF01	clindamycin
D10AF02	erythromycin
D10AF03	chloramphenicol
D10AF04	meclocycline
D10AF51	clindamycin, combinations
D10AF52	erythromycin, combinations
D10AX	Other anti-acne preparations for topical use
D10AX01	aluminium chloride
D10AX02	resorcinol
D10AX03	azelaic acid
D10AX04	aluminium oxide
D10AX05	dapsone
D10AX30	various combinations
D10B	ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE
D10BA	Retinoids for treatment of acne
D10BA01	isotretinoin
D10BX	Other anti-acne preparations for systemic use
D10BX01	ichtasol
D11	OTHER DERMATOLOGICAL PREPARATIONS
D11A	OTHER DERMATOLOGICAL PREPARATIONS
D11AA	Antihidrotics
D11AC	Medicated shampoos
D11AC01	cetrimide
D11AC02	cadmium compounds
D11AC03	selenium compounds
D11AC06	povidone-iodine
D11AC08	sulfur compounds
D11AC09	xenysalate
D11AC30	others
D11AE	Androgens for topical use
D11AE01	metandienone
D11AF	Wart and anti-corn preparations
D11AH	Agents for dermatitis, excluding corticosteroids
D11AH01	tacrolimus
D11AH02	pimecrolimus
D11AH03	cromoglicic acid
D11AH04	alitretinoin
D11AX	Other dermatologicals
D11AX01	minoxidil
D11AX02	gamolenic acid
D11AX03	calcium gluconate
D11AX04	lithium succinate
D11AX05	magnesium sulfate
D11AX06	mequinol
D11AX08	tiratricol
D11AX09	oxaceprol
D11AX10	finasteride
D11AX11	hydroquinone
D11AX12	pyrithione zinc
D11AX13	monobenzone
D11AX16	eflornithine
D11AX18	diclofenac
D11AX21	brimonidine
D11AX52	gamolenic acid, combinations
D11AX57	collagen, combinations
G	GENITO URINARY SYSTEM AND SEX HORMONES
G01	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS
G01AA	Antibiotics
G01AA01	nystatin
G01AA02	natamycin
G01AA03	amphotericin B
G01AA04	candicidin
G01AA05	chloramphenicol
G01AA06	hachimycin
G01AA07	oxytetracycline
G01AA08	carfecillin
G01AA09	mepartricin
G01AA10	clindamycin
G01AA11	pentamycin
G01AA51	nystatin, combinations
G01AB	Arsenic compounds
G01AB01	acetarsol
G01AC	Quinoline derivatives
G01AC01	diiodohydroxyquinoline
G01AC02	clioquinol
G01AC03	chlorquinaldol
G01AC05	dequalinium
G01AC06	broxyquinoline
G01AC30	oxyquinoline
G01AD	Organic acids
G01AD01	lactic acid
G01AD02	acetic acid
G01AD03	ascorbic acid
G01AE	Sulfonamides
G01AE01	sulfatolamide
G01AE10	combinations of sulfonamides
G01AF	Imidazole derivatives
G01AF01	metronidazole
G01AF02	clotrimazole
G01AF04	miconazole
G01AF05	econazole
G01AF06	ornidazole
G01AF07	isoconazole
G01AF08	tioconazole
G01AF11	ketoconazole
G01AF12	fenticonazole
G01AF13	azanidazole
G01AF14	propenidazole
G01AF15	butoconazole
G01AF16	omoconazole
G01AF17	oxiconazole
G01AF18	flutrimazole
G01AF20	combinations of imidazole derivatives
G01AG	Triazole derivatives
G01AG02	terconazole
G01AX	Other antiinfectives and antiseptics
G01AX01	clodantoin
G01AX02	inosine
G01AX03	policresulen
G01AX05	nifuratel
G01AX06	furazolidone
G01AX09	methylrosaniline
G01AX11	povidone-iodine
G01AX12	ciclopirox
G01AX13	protiofate
G01AX14	lactobacillus fermentum
G01AX15	copper usnate
G01AX66	octenidine, combinations
G01B	ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS
G01BA	Antibiotics and corticosteroids
G01BC	Quinoline derivatives and corticosteroids
G01BD	Antiseptics and corticosteroids
G01BE	Sulfonamides and corticosteroids
G01BF	Imidazole derivatives and corticosteroids
G02	OTHER GYNECOLOGICALS
G02A	UTEROTONICS
G02AB	Ergot alkaloids
G02AB01	methylergometrine
G02AB02	ergot alkaloids
G02AB03	ergometrine
G02AC	Ergot alkaloids and oxytocin incl. analogues, in combination
G02AC01	methylergometrine and oxytocin
G02AD	Prostaglandins
G02AD01	dinoprost
G02AD02	dinoprostone
G02AD03	gemeprost
G02AD04	carboprost
G02AD05	sulprostone
G02AD06	misoprostol
G02AX	Other uterotonics
G02B	CONTRACEPTIVES FOR TOPICAL USE
G02BA	Intrauterine contraceptives
G02BA01	plastic IUD
G02BA02	plastic IUD with copper
G02BA03	plastic IUD with progestogen
G02BB	Intravaginal contraceptives
G02BB01	vaginal ring with progestogen and estrogen
G02C	OTHER GYNECOLOGICALS
G02CA	Sympathomimetics, labour repressants
G02CA01	ritodrine
G02CA02	buphenine
G02CA03	fenoterol
G02CB	Prolactine inhibitors
G02CB01	bromocriptine
G02CB02	lisuride
G02CB03	cabergoline
G02CB04	quinagolide
G02CB05	metergoline
G02CB06	terguride
G02CC	Antiinflammatory products for vaginal administration
G02CC01	ibuprofen
G02CC02	naproxen
G02CC03	benzydamine
G02CC04	flunoxaprofen
G02CX	Other gynecologicals
G02CX01	atosiban
G02CX03	Agni casti fructus
G02CX04	Cimicifugae rhizoma
G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03A	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03AA	Progestogens and estrogens, fixed combinations
G03AA01	etynodiol and ethinylestradiol
G03AA02	quingestanol and ethinylestradiol
G03AA03	lynestrenol and ethinylestradiol
G03AA04	megestrol and ethinylestradiol
G03AA05	norethisterone and ethinylestradiol
G03AA06	norgestrel and ethinylestradiol
G03AA07	levonorgestrel and ethinylestradiol
G03AA08	medroxyprogesterone and ethinylestradiol
G03AA09	desogestrel and ethinylestradiol
G03AA10	gestodene and ethinylestradiol
G03AA11	norgestimate and ethinylestradiol
G03AA12	drospirenone and ethinylestradiol
G03AA13	norelgestromin and ethinylestradiol
G03AA14	nomegestrol and estradiol
G03AA15	chlormadinone and ethinylestradiol
G03AA16	dienogest and ethinylestradiol
G03AB	Progestogens and estrogens, sequential preparations
G03AB01	megestrol and ethinylestradiol
G03AB02	lynestrenol and ethinylestradiol
G03AB03	levonorgestrel and ethinylestradiol
G03AB04	norethisterone and ethinylestradiol
G03AB05	desogestrel and ethinylestradiol
G03AB06	gestodene and ethinylestradiol
G03AB07	chlormadinone and ethinylestradiol
G03AB08	dienogest and estradiol
G03AC	Progestogens
G03AC01	norethisterone
G03AC02	lynestrenol
G03AC03	levonorgestrel
G03AC04	quingestanol
G03AC05	megestrol
G03AC06	medroxyprogesterone
G03AC07	norgestrienone
G03AC08	etonogestrel
G03AC09	desogestrel
G03AD	Emergency contraceptives
G03AD01	levonorgestrel
G03AD02	ulipristal
G03B	ANDROGENS
G03BA	3-oxoandrosten (4) derivatives
G03BA01	fluoxymesterone
G03BA02	methyltestosterone
G03BA03	testosterone
G03BB	5-androstanon (3) derivatives
G03BB01	mesterolone
G03BB02	androstanolone
G03C	ESTROGENS
G03CA	Natural and semisynthetic estrogens, plain
G03CA01	ethinylestradiol
G03CA03	estradiol
G03CA04	estriol
G03CA06	chlorotrianisene
G03CA07	estrone
G03CA09	promestriene
G03CA53	estradiol, combinations
G03CA57	conjugated estrogens
G03CB	Synthetic estrogens, plain
G03CB01	dienestrol
G03CB02	diethylstilbestrol
G03CB03	methallenestril
G03CB04	moxestrol
G03CC	Estrogens, combinations with other drugs
G03CC02	dienestrol
G03CC03	methallenestril
G03CC04	estrone
G03CC05	diethylstilbestrol
G03CC06	estriol
G03CX	Other estrogens
G03CX01	tibolone
G03D	PROGESTOGENS
G03DA	Pregnen (4) derivatives
G03DA01	gestonorone
G03DA02	medroxyprogesterone
G03DA03	hydroxyprogesterone
G03DA04	progesterone
G03DB	Pregnadien derivatives
G03DB01	dydrogesterone
G03DB02	megestrol
G03DB03	medrogestone
G03DB04	nomegestrol
G03DB05	demegestone
G03DB06	chlormadinone
G03DB07	promegestone
G03DB08	dienogest
G03DC	Estren derivatives
G03DC01	allylestrenol
G03DC02	norethisterone
G03DC03	lynestrenol
G03DC04	ethisterone
G03DC06	etynodiol
G03DC31	methylestrenolone
G03E	ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION
G03EA	Androgens and estrogens
G03EA01	methyltestosterone and estrogen
G03EA02	testosterone and estrogen
G03EA03	prasterone and estrogen
G03EB	Androgen, progestogen and estrogen in combination
G03EK	Androgens and female sex hormones in combination with other drugs
G03EK01	methyltestosterone
G03F	PROGESTOGENS AND ESTROGENS IN COMBINATION
G03FA	Progestogens and estrogens, fixed combinations
G03FA01	norethisterone and estrogen
G03FA02	hydroxyprogesterone and estrogen
G03FA03	ethisterone and estrogen
G03FA04	progesterone and estrogen
G03FA05	methylnortestosterone and estrogen
G03FA06	etynodiol and estrogen
G03FA07	lynestrenol and estrogen
G03FA08	megestrol and estrogen
G03FA09	noretynodrel and estrogen
G03FA10	norgestrel and estrogen
G03FA11	levonorgestrel and estrogen
G03FA12	medroxyprogesterone and estrogen
G03FA13	norgestimate and estrogen
G03FA14	dydrogesterone and estrogen
G03FA15	dienogest and estrogen
G03FA16	trimegestone and estrogen
G03FA17	drospirenone and estrogen
G03FB	Progestogens and estrogens, sequential preparations
G03FB01	norgestrel and estrogen
G03FB02	lynestrenol and estrogen
G03FB03	chlormadinone and estrogen
G03FB04	megestrol and estrogen
G03FB05	norethisterone and estrogen
G03FB06	medroxyprogesterone and estrogen
G03FB07	medrogestone and estrogen
G03FB08	dydrogesterone and estrogen
G03FB09	levonorgestrel and estrogen
G03FB10	desogestrel and estrogen
G03FB11	trimegestone and estrogen
G03FB12	nomegestrol and estrogen
G03G	GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA	Gonadotropins
G03GA01	chorionic gonadotrophin
G03GA02	human menopausal gonadotrophin
G03GA03	serum gonadotrophin
G03GA04	urofollitropin
G03GA05	follitropin alfa
G03GA06	follitropin beta
G03GA07	lutropin alfa
G03GA08	choriogonadotropin alfa
G03GA09	corifollitropin alfa
G03GA30	combinations
G03GB	Ovulation stimulants, synthetic
G03GB01	cyclofenil
G03GB02	clomifene
G03GB03	epimestrol
G03H	ANTIANDROGENS
G03HA	Antiandrogens, plain
G03HA01	cyproterone
G03HB	Antiandrogens and estrogens
G03HB01	cyproterone and estrogen
G03X	OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03XA	Antigonadotropins and similar agents
G03XA01	danazol
G03XA02	gestrinone
G03XB	Progesterone receptor modulators
G03XB01	mifepristone
G03XB02	ulipristal
G03XC	Selective estrogen receptor modulators
G03XC01	raloxifene
G03XC02	bazedoxifene
G03XC03	lasofoxifene
G03XC04	ormeloxifene
G03XC05	ospemifene
G04	UROLOGICALS
G04B	UROLOGICALS
G04BA	Acidifiers
G04BA01	ammonium chloride
G04BA03	calcium chloride
G04BC	Urinary concrement solvents
G04BD	Drugs for urinary frequency and incontinence
G04BD01	emepronium
G04BD02	flavoxate
G04BD03	meladrazine
G04BD04	oxybutynin
G04BD05	terodiline
G04BD06	propiverine
G04BD07	tolterodine
G04BD08	solifenacin
G04BD09	trospium
G04BD10	darifenacin
G04BD11	fesoterodine
G04BD12	mirabegron
G04BE	Drugs used in erectile dysfunction
G04BE01	alprostadil
G04BE02	papaverine
G04BE03	sildenafil
G04BE04	yohimbine
G04BE06	moxisylyte
G04BE07	apomorphine
G04BE08	tadalafil
G04BE09	vardenafil
G04BE30	combinations
G04BE52	papaverine, combinations
G04BX	Other urologicals
G04BX01	magnesium hydroxide
G04BX03	acetohydroxamic acid
G04BX06	phenazopyridine
G04BX10	succinimide
G04BX11	collagen
G04BX12	phenyl salicylate
G04BX13	dimethyl sulfoxide
G04BX14	dapoxetine
G04BX15	pentosan polysulfate sodium
G04C	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
G04CA	Alpha-adrenoreceptor antagonists
G04CA01	alfuzosin
G04CA02	tamsulosin
G04CA03	terazosin
G04CA04	silodosin
G04CA51	alfuzosin and finasteride
G04CA52	tamsulosin and dutasteride
G04CA53	tamsulosin and solifenacin
G04CB	Testosterone-5-alpha reductase inhibitors
G04CB01	finasteride
G04CB02	dutasteride
G04CX	Other drugs used in benign prostatic hypertrophy
G04CX01	Prunus africanae cortex
G04CX02	Sabalis serrulatae fructus
G04CX03	mepartricin
H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
H01	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01A	ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01AA	ACTH
H01AA01	corticotropin
H01AA02	tetracosactide
H01AB	Thyrotropin
H01AB01	thyrotropin alfa
H01AC	Somatropin and somatropin agonists
H01AC01	somatropin
H01AC02	somatrem
H01AC03	mecasermin
H01AC04	sermorelin
H01AC05	mecasermin rinfabate
H01AC06	tesamorelin
H01AX	Other anterior pituitary lobe hormones and analogues
H01AX01	pegvisomant
H01B	POSTERIOR PITUITARY LOBE HORMONES
H01BA	Vasopressin and analogues
H01BA01	vasopressin
H01BA02	desmopressin
H01BA03	lypressin
H01BA04	terlipressin
H01BA05	ornipressin
H01BA06	argipressin
H01BB	Oxytocin and analogues
H01BB01	demoxytocin
H01BB02	oxytocin
H01BB03	carbetocin
H01C	HYPOTHALAMIC HORMONES
H01CA	Gonadotropin-releasing hormones
H01CA01	gonadorelin
H01CA02	nafarelin
H01CB	Somatostatin and analogues
H01CB01	somatostatin
H01CB02	octreotide
H01CB03	lanreotide
H01CB04	vapreotide
H01CB05	pasireotide
H01CC	Anti-gonadotropin-releasing hormones
H01CC01	ganirelix
H01CC02	cetrorelix
H02	CORTICOSTEROIDS FOR SYSTEMIC USE
H02A	CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN
H02AA	Mineralocorticoids
H02AA01	aldosterone
H02AA02	fludrocortisone
H02AA03	desoxycortone
H02AB	Glucocorticoids
H02AB01	betamethasone
H02AB02	dexamethasone
H02AB03	fluocortolone
H02AB04	methylprednisolone
H02AB05	paramethasone
H02AB06	prednisolone
H02AB07	prednisone
H02AB08	triamcinolone
H02AB09	hydrocortisone
H02AB10	cortisone
H02AB11	prednylidene
H02AB12	rimexolone
H02AB13	deflazacort
H02AB14	cloprednol
H02AB15	meprednisone
H02AB17	cortivazol
H02B	CORTICOSTEROIDS FOR SYSTEMIC USE, COMBINATIONS
H02BX	Corticosteroids for systemic use, combinations
H02BX01	methylprednisolone, combinations
H02C	ANTIADRENAL PREPARATIONS
H02CA	Anticorticosteroids
H02CA01	trilostane
H03	THYROID THERAPY
H03A	THYROID PREPARATIONS
H03AA	Thyroid hormones
H03AA01	levothyroxine sodium
H03AA02	liothyronine sodium
H03AA03	combinations of levothyroxine and liothyronine
H03AA04	tiratricol
H03AA05	thyroid gland preparations
H03B	ANTITHYROID PREPARATIONS
H03BA	Thiouracils
H03BA01	methylthiouracil
H03BA02	propylthiouracil
H03BA03	benzylthiouracil
H03BB	Sulfur-containing imidazole derivatives
H03BB01	carbimazole
H03BB02	thiamazole
H03BB52	thiamazole, combinations
H03BC	Perchlorates
H03BC01	potassium perchlorate
H03BX	Other antithyroid preparations
H03BX01	diiodotyrosine
H03BX02	dibromotyrosine
H03C	IODINE THERAPY
H03CA	Iodine therapy
H04	PANCREATIC HORMONES
H04A	GLYCOGENOLYTIC HORMONES
H04AA	Glycogenolytic hormones
H04AA01	glucagon
H05	CALCIUM HOMEOSTASIS
H05A	PARATHYROID HORMONES AND ANALOGUES
H05AA	Parathyroid hormones and analogues
H05AA01	parathyroid gland extract
H05AA02	teriparatide
H05AA03	parathyroid hormone
H05B	ANTI-PARATHYROID AGENTS
